id,category/id, ,Ministério,Categoria 01,Categoria 02,Categoria 03,Escopo,MODERADOR,REVISOR,title/pt-BR,body/pt-BR,url,@,,Revisão de categorias,,
69,8,Educação,Educação,Ensino ,Bolsas,Lei de Diretrizes e Bases da Educação / Fundo Nacional de Desenvolvimento da Educação - FNDE,Escopo Federal e Estadual,Diego,Igor,Fomento ao Integral,"Reestabelecer a política de Educação Integral a partir do fomento federal, ofertando formação e bolsa digna aos voluntários. Garantindo as estruturas escolares, a logística de transporte, dentre outras demandas.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/69,,,Sim,,
70,8,Educação,Educação,Ampliação de Infraestrutura,Reestruturação de unidades,Lei de Diretrizes e Bases da Educação / Fundo Nacional de Desenvolvimento da Educação - FNDE,Está no escopo,Diego,Igor,Padronização nas unidades de ensino,"Estabelecer e criar melhorias nas escolas, para transformar os adolescentes do ensino ao mercado de trabalho.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/70,,,Sim,,
71,17,Minas e Energia,Minas e Energia,Ampliação de Infraestrutura,Ampliação infraestrutura,Eletrobras,Está no escopo,Diego,Igor,Reestatização da Eletrobrás ,"A privatização reduz a segurança energética do país. Os “jabutis” acrescentados à lei de privatização e o desejo de recuperar o mais rápido possível o que pagaram levará a aumento significativo das tarifas, comprometendo o acesso a energia aos mais carentes e áreas de maior custo pra levar a energia como áreas rurais. Com o controle dos nossos rios, ameaça  comunidades ribeirinhas. A experiência internacional mostra que a ausencia de manutenção e investimento gera o risco inclusive de apagões .",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/71,,,Sim,,
72,8,Educação,Educação,Ensino ,"Alteração/inserção/ampliação currículo escolar 
",Lei de Diretrizes e Bases da Educação / Fundo Nacional de Desenvolvimento da Educação - FNDE,Está no escopo,Diego,Igor,"Revogar o ""Novo Ensino Médio"" que prejudica os jovens","Com urgência reduzir a quantidade de aulas em itinerários bizarros que TIRARAM aulas de matemática, português, física, química, redação, geografia e história e estão DESTRUINDO a formação dos jovens que saem muito pior hoje em dia, sem formação consistente.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/72,,,Sim,,
73,28,Educação ,Transportes,"Transporte 
","Ampliação da segurança 
",Autoescolas,Está no escopo,Diego,Igor, Capacitação em direção defensiva para estudantes de escolas de tempo integral.,"Como sabe, a habilidade de dirigir é valiosa que traz benefícios tanto na vida acadêmica quanto profissional dos estudantes.
Pra essa capacitação, escola de tempo integral ofereceria curso de direção defensiva com abordagem prática e teórica. O curso seria desenvolvido em conjunto com autoescola credenciada, com duração de 30 horas e divididas em aulas teóricas e práticas. Ao final do curso, com seus certificados de conclusão do curso, aumentar suas chances de inserção no mercado de trabalho.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/73,,,Sim,,
74,19,Cidades ,Cidades,"Ações afirmativas 
","Participação social 
",Subsídios,Está no escopo,Diego,Igor,Programa Periferia Viva,"A Secretaria Nacional de Periferias propõe o Programa Periferia Viva, para articular todas as políticas públicas do Estado nos territórios periféricos e garantir a participação popular nas decisões. Nas periferias, não basta só um tipo de intervenção do Estado. São décadas de abandono, carências e vulnerabilidades. E também décadas de organização popular para exigir os direitos e criar soluções. O Periferia Viva é uma inovação do governo Lula para mudar a vida do povo das periferias do Brasil.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/74,,,Sim,,
75,19,Cidades,Cidades,Minha Casa Minha Vida,"Ampliação infraestrutura
",Subsídios,Está no escopo,Diego,Igor,Minha Casa Minha Vida aumentando subsídio para área central,"Aumentar o subsídio se o terreno e o empreendimento for CENTRAL (até 10km do centro da cidade) para que a Faixa 1 seja feita em locais com boa infra estrutura urbana (escolas, creches, hospitais, ônibus, teatros, etc).",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/75,,,Sim,,
77,29,Transportes,Cidades,"Transporte 
","Parceria público privada 
",Estatuto das Cidades / Subsídios,Está no escopo,Diego,Igor,Programa de subsídios para transporte em cidades brasileiras com recursos de multas e pedágios,"Proposta: criar um programa de subsídios em parceria com prefeituras e empresas de transporte público para financiar a aquisição e manutenção de ônibus e veículos de transporte público em pequenas e médias cidades brasileiras, visando melhorar o transporte coletivo e a qualidade de vida da população local. Esse programa receberia um percentual dos recursos de Multas de Trânsito, estacionamentos rotativos e pedágios.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/77,,,Sim,,
78,19,Cidades ,Cidades,Ampliação de Infraestrutura,"Água 
",Superintendência do Desenvolvimento do Nordeste,Está no escopo,Diego,Igor,Otimizar o uso dos recursos hídricos do Canal do Sertão Alagoano ,"Destinar recursos para a construção de sistemas de tratamento de água para consumo humano ao longo de toda a extensão do canal do sertão, para abastecimento das cidades e dos povoados que o margem, haja vista que muitas comunidades do sertão ainda não têm água encanada.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/78,,,Sim,,
79,16,Meio Ambiente e Mudança do Clima,Meio Ambiente e Mudança do Clima,"Políticas públicas/sociais 
","Resíduos sólidos 
",LEI 12.305 / 2010,Está no escopo,Diego,Igor,Programa de Resíduos Solidos,"É importante se ter atenção especial a implementação da Política Nacional de Resíduos Sólidos, que está sendo negligenciada há anos no Brasil",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/79,,,Sim,,
80,18,Mulheres / Saúde,Mulheres,"Políticas públicas/sociais 
","Mulheres 
",Gestantes e Cuidado Pré-Natal,Está no escopo,Diego,Igor,Saúde Mental Materna Importa,"O Governo Federal deverá estruturar iniciativas voltadas para a saúde mental materna, em especial no período da gestação e do puerpério, considerando inclusive os riscos para o desenvolvimento das nossas crianças. Os índices de adoecimento e de Suicidio nesse período são alarmantes! Temos que assistir as mães com apoio , tornandO obrigatório o pré-natal sicológico e monitoramento dos riscos associados. Temos que dar visibilidade a essa grave questão de saúde no país.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/80,,,Sim,,
81,31,Desenvolvimento Agrário e Agricultura Familiar,Agricultura e Pecuária,"Moradia 
","Fora do centro urbano 
",Agricultura Familiar,Está no escopo,Diego,Igor,Moradia Rural para Famílias de Baixa Renda,"Morar na propriedade do empregador é a realidade da maioria dos trabalhadores rurais e suas famílias, situação que torna a relação de trabalho desigual e frequentemente entendida como parcela da remuneração.
Proponho o ""Minha Ecovila - Minha Vida"" que ofereça essa modalidade de moradia rural próxima aos empregos com incentivo às atividades de subsistência comunitárias (hortas & cia).
Trará + dignidade aos trabalhadores e fixará força de trabalho nas zonas rurais.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/81,,,Sim,,
82,13,Infraestrutura,Transportes,Ampliação de Infraestrutura,"Ampliação infraestrutura
",BR 116 (CE - RS),Está no escopo,Diego,Igor,"Viaduto no KM459 da BR-116 para retorno seguro a Santo Estêvão, Bahia","Proposta: construir um viaduto no KM459 da BR-116, próximo à Comunidade do Pau de Vela, para permitir o retorno seguro à cidade de Santo Estêvão. A obra melhorará o acesso e a mobilidade da população local, favorecendo o desenvolvimento econômico e social da cidade.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/82,,,Sim,,
83,19,Cidades,Cidades,Ampliação de Infraestrutura,"Água 
",,Está no escopo,Diego,Igor,Garantir a gestão pública e otimizar o uso dos recursos hídricos do Canal do Sertão Alagoano,"Garantir a gestão pública e destinar recursos para a construção de sistemas de tratamento de água para consumo humano em toda a extensão do canal, haja vista que várias comunidades ainda não têm água encanada.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/83,,,Sim,,
85,2,"Assistência Social, Família e Combate à Fome / Educação","Desenvolvimento e Assistência Social, Família e Combate à Fome","Orçamento público 
","Alteração/inserção/ampliação currículo escolar 
",Redução de Alíquotas,Está no escopo,Diego,Igor,Valorização do salário mínimo e redução de impostos ,"1° Reajuste real do salário mínimo para 1.500,00
2° Redução de impostos dos alimentos, combustíveis e gás de cozinha.
3° Reforço escolar para todas as séries.
4° Aulas avançadas de inglês e espanhol, para todos os estudantes da rede.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/85,,,Sim,,
86,2,Meio Ambiente e Mudança do Clima,Meio Ambiente e Mudança do Clima,"Políticas públicas/sociais 
","Proteção e defesa de animais 
",Veterinários / Vacinas,Está no escopo,Diego,Igor,Ajuda de custo e criaçao de Unidade de zoonoses em Alagoinhas Bahia.,"A proposta é ajuda de custo para os protetores individuais que possuem inúmeros animais e as associações de proteção Animal existente na cidade, a cidade possui uma enorme qualidade de animais nas ruas, fora os maus tratos sofridos nas ruas e nas casas, e nós protetores individuais dão apoio que a cidade não dá, nós endividando a cada dia, então solicitamos ajuda para que continuemos da apoio aos nossos animais errantes, situação de todas as cidades da Bahia questão de saúde pública.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/86,,,Sim,,
87,12,"Indústria, Comércio e Serviços / Agricultura Familiar",Agricultura e Pecuária,"Orçamento público 
","Parceria público privada 
",,Está no escopo,Diego,Igor,Mercado Digital gov.br,"Atuar na criação de um mercado gratuito preferencialmente digital, onde qualquer cidadão poderá comercializar produtos, principalmente oriundos de artesanato, agricultura familiar e produção sustentável.

Justificativa: Atualmente as redes privadas e grandes marketplaces dominam esse mercado, oferecendo serviços a custos elevados que muitas vezes inviabilizam a comercialização de produtos produzidos em baixa quantidade, desta forma se demonstra fundamental o governo atuar nesse contexto.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/87,,,Sim,,
88,8,Educação,Educação,"Educação
","Ampliação infraestrutura
",,Está no escopo,Diego,Igor,Emancipação do campus do Mucuri em Teófilo Otoni -MG,"Criação da Universidade Federal do Nordeste Mineiro - UFNM, através da emancipação do campus do Mucuri da UFVJM, em Teófilo Otoni-MG.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/88,,,Sim,,
89,16,Meio Ambiente e Mudança do Clima / Educação,Educação,"Educação
","Alteração/inserção/ampliação currículo escolar 
",,Está no escopo,Diego,Igor,Educação e sustentabilidade ,"Criar em todo o país mecanismos de educação visando o meio ambiente sustentável, valorizando nossa fauna e flora e a preservação dos profissionais de educação ambiental para que o Brasil possa ser um país renovado e sustentável.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/89,,,Sim,,
90,10,Fazenda,Fazenda,"Orçamento público 
","Financiamento 
",,Está no escopo,Diego,Igor,Auditoria da Dívida Pública,Auditoria popular e cidadã da Dívida Pública para diminuir os juros e amortizações.,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/90,,,Sim,,
91,27,Saúde,Saúde,"Ampliação infraestrutura
","Atendimento psicossocial 
",Psicólogos,Está no escopo,Diego,Igor,"Obrigatoriedade de todas as prefeituras do país a disponibilizar psicólogos(as) nas esferas da saúde pública, desde a atenção primária.","Tendo em vista a alta demanda em busca por serviços em psicologia, e consequentemente a superlotação do serviço, acontece de ter uma alta demanda para um baixo porcentual de efetivo de profissionais em psicologia contratado para atendendo a população.  A proposta é de que o governo federal crie um programa que garanta a população acesso ao serviço, custeado pelo SUS, atendendo ao modelo de saúde Biopsicossocial.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/91,,,Sim,,
92,27,Saúde,Saúde,"SUS 
","Concursos públicos 
",,Está no escopo,Diego,Igor,Fortalecer a Vigilância em Saúde como modelo de atenção do SUS,"O Brasil precisa adotar o modelo de atenção centrado na vigilância em sáude onde a determinação da doença é multifator e depende de respostas focadas nas condições de vida, incluindo trabalho, renda, escolaridade e acesso aos serviços e ações de saúde, colocando a atenção primária como porta de entrada do cuidado e reguladora da rede de atenção à saúde. .",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/92,,,Sim,,
93,20,Outros,Meio Ambiente e Mudança do Clima,"Políticas públicas/sociais 
","Proteção e defesa de animais 
",,Competência do Legislativo (Ilegalidades e IR),Diego,Igor,Direitos dos animais e protetores ,"Oi! 
Propostas: 
1. Proibição da indústria, comércio e uso de fogos de artifício com estampido.
2. Subsídios para os produtos, serviços, medicamentos e criação de hospitais públicos 24h para animais e castramóvel (para ir às vilas para o povo que não tem como se deslocar até uma clínica ou dinheiro para pagar).
3. Banco de ração e/ou doação de ração para ONGs e protetores independentes, sob cadastro, e posterior abatimento no IR (por exemplo) do doador, mediante comprovação.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/93,,,Sim,,
94,8,Educação,Educação,"Ensino 
","Alteração/inserção/ampliação currículo escolar 
",Nutricionistas,Está no escopo,Diego,Igor,Inclusão de dietas vegetarianas no currículo obrigatório dos cursos de Nutrição.,"Atualmente, os cursos de Nutrição não oferecem disciplinas obrigatórias voltadas exclusivamente às dietas vegetarianas. Sendo o consumo de produtos animais um dos principais causadores de impactos ambientais negativos, proponho a inclusão de disciplinas obrigatórias sobre vegetarianismo na grade curricular desses cursos, de forma a incentivar esse tipo de dieta e melhor atender aos que já são adeptos dessa prática.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/94,,,Sim,,
95,27,Saúde / Educação,Saúde,"SUS 
","Concursos públicos 
",,Está no escopo,Diego,Igor,Carreira única do SUS,"Criar uma carreira única do SUS onde todas as categorias são valorizadas com Plano de Cargos, Carreiras e Vencimentos igual para todo o SUS, nas três esferas de gestão (municipal, estadual e federal), garantindo salário digno e valorização dos trabalhadores e trabalhadoras com educação permanente e continuada, com vistas a permanência da força de trabalho.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/95,,,Sim,,
96,28,Trabalho e Emprego,Legislativo,"Orçamento público 
","Cannabis 
",,Está no escopo,Diego,Igor,Investimento: Uma criação de um mercado cannabico no Brasil!,"Com o objetivo que seja criado um novo setor industrial e econômico no país, a criação de um novo mercado geraria novos empregos e auxiliaria no desenvolvimento do país. Tendo em vista que, a planta contém uma versatilidade grandiosa podendo ser trabalhada de diversas formas.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/96,,,Sim,,
97,27,Saúde,Saúde,"PCD
","Acessibilidade 
",Pessoa com Deficiência (PCD),Está no escopo,Diego,Igor,"Inclusão das pessoas com Fibromialgia, Lúpus e doenças correlatas como PcD's.","A inclusão se faz necessária para reconhecimento dos direitos humanos básicos para as pessoas com as patologias acima citadas. Afinal, conviver e viver com essa patologia dolorosa, desgastante fisicamente e mentalmente não é fácil para ninguém. É através desta justificativa e necessidade popular brasileira que clamo aos órgãos competentes uma análise minuciosa desse tema.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/97,,,Sim,,
98,7,Direitos Humanos e Cidadania,Portos e Aeroportos,"Políticas públicas/sociais 
","Acessibilidade 
",Passaportes,Está no escopo,Diego,Igor,Isenção do passaporte ,"Criação de projeto que de isenção da taxa para passaporte para pessoas de baixa renda, dando assim oportunidade principalmente para estudantes concorrerem a vagas de bolsas de estudo no exterior tanto para suas inscrições como também  a possibilidade de viajar. Além claro de outros motivos de um cidadão de baixa renda conseguir ter o seu direito de ir e vir",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/98,,,Sim,,
99,27,Saúde,Saúde,"SUS 
","Saúde mental 
",Farmácias Populares,Está no escopo,Diego,Igor,Atualizar e expandir o direito a medicamentos de alto custo,"A Relação Nacional de Medicamentos Essenciais (Rename) no momento se encontra defasada, não incluindo novos achados científicos sobre medicamentos e patologias. A exemplo, o tratamento medicamentoso para TDAH (que é de alto custo) não se encontra nessa lista e assim não garante ao cidadão o Direito a Saúde, ""definida no artigo 196 como direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas que evitem o risco do agravo à saúde e também mediante o acesso universal"".",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/99,,,Sim,,
100,27,Saúde,Saúde,"Servidores Públicos 
","Concursos públicos 
",Concurso Público,Competência do Legislativo (Carreiras Típicas de Estado),Diego,Igor,Concurso público,Garantir concurso público para ingresso na carreira da Saúde e considerar como atividade restrita de estado as ações e serviços de saúde nas três esferas de gestão do SUS.,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/100,,,Sim,,
101,,Outros,Previdência Social,"Reforma previdência 
","Idosos
",Proposta de EC / EC 103/19,Competência do Legislativo (PEC),Diego,Igor,Previdencia social/aposentadoria,"Sugiro ao atual governo que reveja essa reforma da previdência de 2019. Muitas pessoas foram lesadas com a reforma que se tornou quase inatingível a aposentadoria nas regras atuais.
Sugestão: independentemente da idade a pessoa que atingir 38 anos de contribuição seja contemplado com a  aposentadoria integral.
Na forma que esta a regra, tomado como exemplo o meu caso e de milhares de brasileiros, irei me aposentar somente com 60 anos de idade 44 de contribuição. Nos socorra por favor presidente",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/101,,,Sim,,
102,8,Educação,Educação,"Educação
","Alteração/inserção/ampliação currículo escolar 
",Libras,Escopo Comum (Executivo e Legislativo - LDB),Diego,Igor,Inclusão de disciplina obrigatória de libras nos currículos dos ensinos fundamental e médio.,"Sendo a língua brasileira de sinais um idioma tão importante para a inclusão dos surdos na sociedade, sugiro a sua obrigatoriedade na grade curricular de todas as escolas, desde o ensino fundamental ao ensino médio.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/102,,,Sim,,
103,34,Casa Civil / Saúde,Saúde,"SUS 
","Fomento a programas existentes
",Unidades Básicas de Saúde (UBS),Está no escopo,Diego,Igor,Saúde direito humano,Aumentar leitos nos hospitais e garantir melhor atender para população idosa,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/103,,,Sim,,
104,16,Meio Ambiente e Mudança do Clima,Meio Ambiente e Mudança do Clima,"Políticas públicas/sociais 
","Proteção e defesa de animais 
",,Está no escopo,Diego,Igor,Proteção Animal,"- O Brasil precisa URGENTE de mais POLITICAS PÚBLICAS voltadas para os animais;
-  Precisa de leis municipais/estaduais e federais que punam rigorosamente os donos de animais vítimas de maus-tratos;
- Os órgãos públicos precisam incentivar a adoção responsável por meio de campanhas e publicações em redes sociais;  
- As autoridades precisam investigar os abandonos e punir os responsáveis;
- A causa animal precisa ser levada a sério e discutida no meio político, entre executivo e legislativo.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/104,,,Sim,,
105,8,Educação,Educação,Ampliação de Infraestrutura,"Fomento a programas existentes
",Prestação de Serviços Noturnos,Competência Estadual,Diego,Igor,Educação de Jovens e Adultos,"Sou orientadora educacional no município de Fortaleza. A atual gestão, prefeito Sarto (pdt) fechou pela metade as escolas polo de Eja. Escolas fechadas em mais da metade. Alunos matriculados em 2022 remanejados para escolas distantes e por este motivo, abandonaram os estudos. Minha proposta seria retomar políticas públicas para a Eja, valorização de professores, material didático adequado e atualizado, legislação que não permita a extinção deste turno, por estados e municípios.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/105,,,Sim,,
106,19,Cidades,Cidades,Minha Casa Minha Vida,"Fomento a programas existentes
",Estatuto das Cidades,Está no escopo,Diego,Igor,Habitação Social Sustentável para todos,"Construção de moradia a partir de um sistema de instrumentalização e capacitação da população brasileira, para difundir a autoconstrução e autogestão de obras, a partir de técnicas construtivas de baixo impacto ambiental e social. Integrando as práticas de construção de moradias do Minha Casa Minha Vida.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/106,,,Sim,,
107,2,"Assistência Social, Família e Combate à Fome",Agricultura e Pecuária,"Alimentação
","Financiamento 
",Programa de Aquisição de Alimentos - PAA,Está no escopo,Diego,Igor,PAA OVO CAIPIRA - Incentivo a produção de Ovos Caipira para Combater a Fome e Desnutrição no Brasil,"Criação do PAA Ovo Caipira em moldes semelhante ao PAA Leite.

O objetivo é gerar a inclusão socioprodutiva dos agricultores familiares  e colaborar no combate a fome e desnutrição, com a doação de uma bandeja de ovos caipira por semana para famílias que estão cadastradas no CadÚnico e em vulnerabilidade nutricional.

O Ovo Caipira é consideradoum dos melhores alimentos do mundo, por ter grande valor nutricional e biológico, podendo ser consumido em todas as fases da vida.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/107,,,Sim,,
108,8,Educação,Educação,Ensino,"Saúde mental 
",Psicólogos,Escopo Comum (Federal e Estadual),Diego,Igor,Psicólogos e terapeutas em todas as escolas ,"Criar espaços nas escolas com psicólogos e terapeutas com objetivo de ajudar na resolução e identificação de problemas. 
Envolver direção e família para ajudar a criança ou jovem na jornada de estudo e melhora percepção sobre expectativas.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/108,,,Sim,,
109,29,Transportes,Transportes,Ampliação de Infraestrutura,"Ampliação infraestrutura
",,Está no escopo,Diego,Igor,Programa de investimento em ferrovias,"Acredito que já existam propostas e leis para investimentos e ampliação da malha ferroviária no Brasil, mas a apresentação de um projeto nacional voltado para este tema é imprescindível. Os brasileiros precisam se locomover, e o transporte individual não supre toda a demanda do país. Peço que olhem com carinho para este tema.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/109,,,Sim,,
110,2,"Assistência Social, Família e Combate à Fome","Desenvolvimento e Assistência Social, Família e Combate à Fome","Políticas públicas/sociais 
",Idosos,Unidades Básicas de Saúde (UBS),,Diego,Igor,Jovem e Idoso Tamos Juntos,"Minha proposta é para acabar com abandono de Idoso.
Sabemos que não é fácil ser idoso neste país pois muitos só é lembrado na hora de receber a pensão, a aposentadoria, indenização ou herança.
Sabendo que o Brasil passa por uma transformação na sociedade com cada vez mais aumentado número de idosos a minha sugestão é para o governo criar um programa voltado ao amparo ao idoso que mora só e precisa ajuda para viver indo a feira livre, mercado, hospital, posto de saúde.
Jovem acompanhante ao idoso",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/110,,,Sim,,
111,29,Transportes, Integração e Desenvolvimento Regional,"Transporte 
","Acessibilidade 
",Passe Livre / Pessoa com Deficiência (PCD),,Diego,Igor,Melhorias no Passe Livre à Pessoa com Deficiência,"Atualmente há um completo descaso da ANTT e MT e Governo Lula referentes ao Passe Livre Interestadual à Pessoa com Deficiência.

Algumas sugestões de melhoria:
Revisão do Decreto 3.691 que restringe o direito ao ônibus convencional
Passe Livre Digital (Carteirinha Digital) com QR Code por App (gov.br)
Sistema que permita todos os procedimentos via internet
Implementação de Passe Livre Unificado Nacional para utilização em nível Interestadual, Intermunicipal e Urbano",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/111,,,Sim,,
113,3,"Ciência, Tecnologia e Inovação","Ciência, Tecnologia e Inovação","Ampliação infraestrutura
","Coworking público 
",,,Diego,Igor,Coworking Público,"Implantação de Coworking Público com infraestrutura para receber  microempreendedores individuais e micro empresários com objetivo de fomentar negócios inovadores e criativos. O espaço deverá ter acesso universal mediante cadastramento prévio e disponibilidade. A ação é desenvolvida em parceria com estados e municípios, universidade e a sociedade civil organizada, podendo qualquer deste, conjuntamente ou separadamente requerer sua implantação.",http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/113,,,Sim,,
