category/name/pt-BR,title/pt-BR,body/pt-BR
Educação,"Educação Básica Democrática, com qualidade e equidade","Elevar a qualidade e promover a equidade em todas as etapas e modalidades da Educação Básica, em regime de colaboração com os sistemas de ensino, valorizando os profissionais da educação básica, promovendo o acesso, a permanência, a conclusão de suas etapas, a trajetória regular e a aprendizagem em níveis adequados, com vistas à superação das desigualdades e a valorização da diversidade, na perspectiva do desenvolvimento integral, da inclusão, da sustentabilidade e da justiça social.Órgão Responsável: Ministério da EducaçãoPágina Oficial: http://www.gov.br/mec/pt-br/Foto: Divulgação/Ministério da Educação"
Povos Indígenas,Direitos Pluriétnicos-Culturais e Sociais para a cidadania e o bem viver dos Povos Indígenas,"Reconhecer e efetivar os direitos pluriétnico-culturais e sociais dos Povos Indígenas, assegurando a preservação e a valorização dos seus saberes, culturas, tradições, línguas e memórias, bem como o pleno exercício da cidadania e o acesso culturalmente adequado às políticas e serviços públicos de garantia dos direitos sociais, respeitando sua autodeterminação, sua pluralidade étnico-cultural e seu protagonismo na gestão das políticas públicas que lhes são afetas.Órgão Responsável: Ministério dos Povos IndígenasPágina Oficial: https://www.gov.br/povosindigenas/pt-br/Foto: Divulgação/Governo Federal"
Meio Ambiente e Mudança do Clima,Enfrentamento da Emergência Climática,"Fortalecer a ação nacional frente às alterações do clima, enfrentando os desafios da redução de impactos climáticos e adaptação; e promovendo a resiliência aos eventos climáticos extremos, viabilizando de forma transversal as oportunidades da transição para a economia de baixo carbono.Órgão Responsável: Ministério do Meio AmbientePágina Oficial: https://www.gov.br/mma/pt-br Foto: Vinicius Mendonça/IBAMA "
Trabalho e Emprego,"Promoção do Trabalho Digno, Emprego e Renda","Assegurar o trabalho digno, o acesso ao emprego e renda, proteção social e remuneração justa, garantindo segurança e saúde no trabalho, diálogo social, inclusão, acessibilidade e equidade no mundo do trabalho. Órgão Responsável: Ministério do Trabalho e Emprego Página Oficial: https://www.gov.br/trabalho-e-previdencia/pt-br/Foto: Divulgação/Freepik"
Educação,"Educação Superior: qualidade, democracia e sustentabilidade","Ampliar o acesso, a permanência e a formação de qualidade na graduação e na pós-graduação, com vistas à superação das desigualdades e a valorização da diversidade, na perspectiva da equidade, da inclusão e da sustentabilidade, fortalecendo a ciência, a tecnologia, a inovação nas atividades de ensino, pesquisa e extensão e aperfeiçoando a avaliação, a supervisão e a regulação de forma participativa para o desenvolvimento do país.Órgão Responsável: Ministério da EducaçãoPágina Oficial: http://www.gov.br/mec/pt-br/Foto: Divulgação/Governo Federal"
Mulheres,Mulher: Viver sem Violência,"Enfrentar todas as formas de violência contra as mulheres, baseadas em gênero, classe, raça e etnia, em toda a sua diversidade, nas esferas públicas e privadas, por meio da formulação, articulação, monitoramento, coordenação, governança interfederativa e avaliação de políticas transversais, intersetoriais, visando o pleno exercício da cidadania, livres de violências e ameaças.Órgão Responsável: Ministério das MulheresPágina Oficial: https://www.gov.br/mulheres/pt-br/Foto:Leo Rizzo/Secretaria de Políticas para as Mulheres"
Justiça e Segurança Pública,Segurança Pública com Cidadania,"Fortalecer a prevenção e o enfrentamento à violência e a criminalidade, promovendo a segurança pública cidadã, humanizada e integrada entre os entes federados e em articulação com a sociedade, com atenção especial à proteção de grupos sociais vulneráveis, de mulheres e pessoas negras. Órgão Responsável: Ministério da Justiça e Segurança Publica Página Oficial:http://www.gov.br/mj/pt-br/Foto: Tom Costa/Ministério da Justiça e Segurança Pública"
Igualdade Racial,"Promoção da Igualdade Étnico-Racial, Combate e Superação do Racismo","Promover a igualdade racial e combater o racismo, por meio da formulação, execução, articulação, monitoramento, governança interfederativa e avaliação de políticas públicas transversais, intersetoriais e afirmativas de reconhecimento e de acesso a bens e direitos, com vistas a assegurar o bem-viver, instituições antirracistas e uma sociedade justa, equitativa e democrática. Órgão Responsável: Ministério da Igualdade Racial Página Oficial: https://www.gov.br/igualdaderacial/pt-br/Foto: Divulgação/Freepik"
Direitos Humanos e Cidadania,"Promoção da Cidadania, Proteção, Defesa de Direitos Humanos e Reparação a Violações","Assegurar a cidadania de segmentos vulnerabilizados ou submetidos a violências diversas por meio de políticas de reparação por graves violações, de educação, de promoção e de defesa de direitos humanos. Órgão Responsável: Ministério dos Direitos Humanos e Cidadania Página Oficial: http://www.gov.br/mdh/pt-br/Foto: Divulgação/Freepik"
,"Promoção da Cidadania, Proteção, Defesa de Direitos Humanos e Reparação a Violações","Objetivo: Assegurar a cidadania de segmentos vulnerabilizados ou submetidos a violências diversas por meio de políticas de reparação por graves violações, de educação, de promoção e de defesa de direitos humanos.Órgão Responsável: Ministério dos Direitos Humanos e CidadaniaPágina Oficial: http://www.gov.br/mdh/pt-br/"
Minas e Energia,Transição Energética,"Coordenar, planejar e promover a redução do conteúdo de carbono da matriz energética brasileira, promovendo a manutenção da alta participação da oferta de energia limpas e renováveis e o aumento da eficiência energética, tanto na oferta quanto na logística de distribuição e no uso final de energia.Órgão Responsável: Ministério de Minas e EnergiaPágina Oficial: http://www.gov.br/mme/pt-br/Foto: Divulgação/Governo Federal"
Cidades,Moradia Digna  ,"Objetivo: Promover moradia digna às famílias residentes em áreas urbanas e rurais com a garantia do direito à cidade, associado ao desenvolvimento urbano e econômico, à geração de trabalho e renda e à elevação dos padrões de habitabilidade e de qualidade de vida da população.Órgão Responsável: Ministério das CidadesPágina Oficial: https://www.gov.br/cidades/pt-br/ Foto: Divulgação/Ministério das Cidades"
Agricultura e Pecuária,Agricultura Familiar e Agroecologia,"Objetivo: Fortalecer a agricultura familiar em sua diversidade e a agroecologia, promovendo a inclusão socioeconômica, com fomento à produção sustentável e à geração de renda, contribuindo para a promoção da segurança alimentar e nutricional e da vida digna, com redução das desigualdades e mitigação das mudanças climáticas.Órgão Responsável: Ministério do Desenvolvimento AgrárioPágina Oficial: https://www.gov.br/agricultura/pt-br/assuntos/mda/agricultura-familiar-1"
Agricultura e Pecuária,Agropecuária Sustentável,"Objetivo: Contribuir para o desenvolvimento do setor agropecuário, com sustentabilidade ambiental, econômica e social, por meio do fomento e da intensificação da produção; da geração, compartilhamento e aplicação de conhecimento técnico-científico; e da regulamentação, certificação, auditoria e fiscalização agropecuária.Órgão Responsável: Ministério da Agricultura e PecuáriaPágina Oficial: http://www.gov.br/agricultura/pt-br/"
Saúde,Atenção Primária à Saúde,"Objetivo: Ampliar o acesso às ações e serviços da Atenção Especializada à Saúde, conforme as necessidades de saúde da população, reduzindo as desigualdades de raça/etnia, de gênero, regionais e sociais, e promovendo a integralidade do cuidado Órgão Responsável: Ministério da Saúde Página Oficial: https://www.gov.br/saude/pt-br/ "
Saúde,Atenção Primária à Saúde,"Objetivo: Fortalecer a Atenção Primária à Saúde, ampliando a cobertura da Estratégia de Saúde da Família e da Saúde Bucal, com vistas à universalização do acesso, à abrangência do cuidado integral, à promoção da saúde, à prevenção de agravos e à redução de desigualdades de raça/etnia, de gênero, regionais e sociaisÓrgão Responsável: Ministério da SaúdePágina Oficial: https://www.gov.br/saude/pt-br/"
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Bolsa Família: Proteção Social por Meio da Transferência de Renda e Articulação das Políticas Públicas,"Objetivo: Reduzir a pobreza por meio da transferência de renda e do fortalecimento de acessos a serviços de educação, saúde, assistência social e inclusão socioeconômica. Órgão Responsável: Ministério do Desenvolvimento e Assistência Social, Família e Combate à fome Página Oficial: http://www.gov.br/cidadania/pt-br/ "
Comunicações,Brasil Conectado: Comunicações para Inclusão e Transformação,"Objetivo: Assegurar serviços de comunicações e conectividade, pela oferta inclusiva dos meios de acesso, com o desenvolvimento das habilidades digitais, dando ênfase aos grupos vulnerabilizadosÓrgão Responsável: Ministério das ComunicaçõesPágina Oficial: http://www.gov.br/mcom/pt-br/"
Casa Civil,Programa de participação ,Participação Social no governo federal
Meio Ambiente e Mudança do Clima,Educação Ambiental ,"Garantir nas escolas de alfabetização até o  grau médio, a Educação Ambiental,  como disciplina."
Mulheres,Pelo bem viver das mulheres ,"Construir creches noturnas, para que as mulheres, sobretudo as que são chefes de família,  terem onde deixar seus filhos em segurança para trabalhar sem a preocupação de deixar com terceiros."
Saúde,Proposta de programa n.01 ,Esse projeto visa melhorar o acesso à saúde pública em regiões distantes dos grandes centros urbanos.
Educação,Proposta de programa n.02 ,Programa de valorização de servidores da educação
Saúde,Proposta de programa n.01 ,Esse projeto visa melhorar o acesso à saúde pública em regiões distantes dos grandes centros urbanos.
Segurança Institucional,Proposta de programa n.03 ,Câmeras de segurança nas ruas em perímetro que cerca as escolas públicas federais.
Transportes,Construção dos dispositivos de acesso da Br 324 Bahia,"Implementação dos dispositivos de acesso na BR324, nos kms 545, 548 e 560, para garantir o direito básico de ir e vir com segurança da sociedade do Território Portal do Sertão"
Mulheres,Aposentadoria das mulheres ,Que as idades para aposentadoria das mulheres fossem a idade menor para contribuição. E que as empresas fossem orientadas a contratar pessoas idosas se não estivessem aposentadas .
Educação,Padronização das unidades escolares ,"Reestruturação das unidades escolares de toda a Bahia, garantindo a padronização dos prédios, conforme orientações FNDE. Com construção de quadras, ampliação das salas de aula, Reestruturação dos banheiros e no refeitório. Garantindo equidade no processo de ensino aprendizagem."
Meio Ambiente e Mudança do Clima,"Potencializar a exploração sustentável da Cachoeira da Pedreira, no município de Amélia Rodrigues ","Oportunizar infraestrutura na Cachoeira da Pedreira( município de Amélia Rodrigues-Ba), enquanto potencial de recurso Natural, configurando-a como Área de Proteção Ambiental (APA)."
Transportes,Iluminação com lâmpadas solares nos postes dos parques,"Visto o grande número de roubos dos fios de cobre dos postes nos parques de João pessoa, a implementação de lâmpadas solares evitaria consideravelmente que os parques fiquem sem iluminação. Pois os mesmos são usados por crianças para brincar, idosos e demais pessoas para fazerem caminhadas, práticas esportivas. E hoje no parque Parahyba 1,2 e 3 a população vem sofrendo com a falta de iluminação, oque ocasiona maior perigo de assaltos na região."
Educação,Fomento ao Integral,"Reestabelecer a política de Educação Integral a partir do fomento federal, ofertando formação e bolsa digna aos voluntários. Garantindo as estruturas escolares, a logística de transporte, dentre outras demandas."
Educação,Padronização nas unidades de ensino,"Estabelecer e criar melhorias nas escolas, para transformar os adolescentes do ensino ao mercado de trabalho."
Minas e Energia,Reestatização da Eletrobrás ,"A privatização reduz a segurança energética do país. Os “jabutis” acrescentados à lei de privatização e o desejo de recuperar o mais rápido possível o que pagaram levará a aumento significativo das tarifas, comprometendo o acesso a energia aos mais carentes e áreas de maior custo pra levar a energia como áreas rurais. Com o controle dos nossos rios, ameaça  comunidades ribeirinhas. A experiência internacional mostra que a ausencia de manutenção e investimento gera o risco inclusive de apagões ."
Educação,"Revogar o ""Novo Ensino Médio"" que prejudica os jovens","Com urgência reduzir a quantidade de aulas em itinerários bizarros que TIRARAM aulas de matemática, português, física, química, redação, geografia e história e estão DESTRUINDO a formação dos jovens que saem muito pior hoje em dia, sem formação consistente."
Trabalho e Emprego, Capacitação em direção defensiva para estudantes de escolas de tempo integral.,"Como sabe, a habilidade de dirigir é valiosa que traz benefícios tanto na vida acadêmica quanto profissional dos estudantes.
Pra essa capacitação, escola de tempo integral ofereceria curso de direção defensiva com abordagem prática e teórica. O curso seria desenvolvido em conjunto com autoescola credenciada, com duração de 30 horas e divididas em aulas teóricas e práticas. Ao final do curso, com seus certificados de conclusão do curso, aumentar suas chances de inserção no mercado de trabalho."
Cidades,Programa Periferia Viva,"A Secretaria Nacional de Periferias propõe o Programa Periferia Viva, para articular todas as políticas públicas do Estado nos territórios periféricos e garantir a participação popular nas decisões. Nas periferias, não basta só um tipo de intervenção do Estado. São décadas de abandono, carências e vulnerabilidades. E também décadas de organização popular para exigir os direitos e criar soluções. O Periferia Viva é uma inovação do governo Lula para mudar a vida do povo das periferias do Brasil."
Cidades,Minha Casa Minha Vida aumentando subsídio para área central,"Aumentar o subsídio se o terreno e o empreendimento for CENTRAL (até 10km do centro da cidade) para que a Faixa 1 seja feita em locais com boa infra estrutura urbana (escolas, creches, hospitais, ônibus, teatros, etc)."
Transportes,Programa de subsídios para transporte em cidades brasileiras com recursos de multas e pedágios,"Proposta: criar um programa de subsídios em parceria com prefeituras e empresas de transporte público para financiar a aquisição e manutenção de ônibus e veículos de transporte público em pequenas e médias cidades brasileiras, visando melhorar o transporte coletivo e a qualidade de vida da população local. Esse programa receberia um percentual dos recursos de Multas de Trânsito, estacionamentos rotativos e pedágios."
Cidades,Otimizar o uso dos recursos hídricos do Canal do Sertão Alagoano ,"Destinar recursos para a construção de sistemas de tratamento de água para consumo humano ao longo de toda a extensão do canal do sertão, para abastecimento das cidades e dos povoados que o margem, haja vista que muitas comunidades do sertão ainda não têm água encanada."
Meio Ambiente e Mudança do Clima,Programa de Resíduos Solidos,"É importante se ter atenção especial a implementação da Política Nacional de Resíduos Sólidos, que está sendo negligenciada há anos no Brasil"
Mulheres,Saúde Mental Materna Importa,"O Governo Federal deverá estruturar iniciativas voltadas para a saúde mental materna, em especial no período da gestação e do puerpério, considerando inclusive os riscos para o desenvolvimento das nossas crianças. Os índices de adoecimento e de Suicidio nesse período são alarmantes! Temos que assistir as mães com apoio , tornandO obrigatório o pré-natal sicológico e monitoramento dos riscos associados. Temos que dar visibilidade a essa grave questão de saúde no país."
Desenvolvimento Agrário e Agricultura Familiar,Moradia Rural para Famílias de Baixa Renda,"Morar na propriedade do empregador é a realidade da maioria dos trabalhadores rurais e suas famílias, situação que torna a relação de trabalho desigual e frequentemente entendida como parcela da remuneração.
Proponho o ""Minha Ecovila - Minha Vida"" que ofereça essa modalidade de moradia rural próxima aos empregos com incentivo às atividades de subsistência comunitárias (hortas & cia).
Trará + dignidade aos trabalhadores e fixará força de trabalho nas zonas rurais."
Transportes,"Viaduto no KM459 da BR-116 para retorno seguro a Santo Estêvão, Bahia","Proposta: construir um viaduto no KM459 da BR-116, próximo à Comunidade do Pau de Vela, para permitir o retorno seguro à cidade de Santo Estêvão. A obra melhorará o acesso e a mobilidade da população local, favorecendo o desenvolvimento econômico e social da cidade."
