Categoria,Texto
Povos Indígenas,"Direitos Pluriétnicos Territoriais, Culturais e Sociais cidadania e o bem viver dos Povos Indígenas. <p><strong>Objetivo</strong>: Reconhecer e efetivar os direitos pluriétnico-culturais e sociais dos Povos Indígenas, assegurando a preservação e a valorização dos seus saberes, culturas, tradições, línguas e memórias, bem como o pleno exercício da cidadania e o acesso culturalmente adequado às políticas e serviços públicos de garantia dos direitos sociais, respeitando sua autodeterminação, sua pluralidade étnico-cultural e seu protagonismo na gestão das políticas públicas que lhes são afetas.</p><p><strong>Órgão Responsável</strong>: Ministério dos Povos Indígenas</p><p><strong>Página Oficial</strong>: https://www.gov.br/pt-br/orgaos/ministerio-dos-povos-indigenas</p>"
Educação,"Mais Universidade: Educação Superior. <p><strong>Objetivo: </strong>Ampliar o acesso, a permanência e a formalçao de qualidade na graduação e na pós-graduação, com vistas à superação das desigualdades e a valoraização da diversidade, na perspectiva da equidade, da inclusão e da sustentabilidade, fortalecendo a ciência, a tecnologia, a inovação nas atividades de ensino, pesquisa e extensão e aperfeiçoando a avaliação, a supervisão e a regulação de forma participativa para o desenvolvimento do país.<br><br><strong>Órgão Responsável: </strong>Ministério da Educação<br><strong><br>Página Oficial:</strong> http://www.gov.br/mec/pt-br/</p>"
Secretaria Geral da Presidência da República,"Juventude: Direitos, participação e bem viver. <p>Assegurar o exercício de direitos pelos jovens mediante a implementação e execução da Política Nacional de Juventude e da ampliação de acesso a serviços e equipamentos públicos, valorizando os jovens sujeitos de direito, em especial os segmentos mais vulnerabilizados da população.<br><br><strong>Órgão Responsável:</strong> Presidência da República<br><br><strong>Página Oficial: </strong>https://www.gov.br/secretariageral/pt-br/</p><p>Foto: Divulgação/Freepik</p>"
Trabalho e Emprego,"Economia Popular, Solidária e Sustentável. <p>Promover a organização coletiva autogestionária, inclusiva e com acessibilidade, fundamentada na cooperação interseccional e na redistribuição, nos princípios comunitários, na participação e educação popular e socioambiental, na construção de redes produtivas e na valorização das dinâmicas territoriais.</p><p><strong>Órgão Responsável</strong>: Ministério do Trabalho e Emprego</p><p><strong>Página Oficial</strong>: https://www.gov.br/trabalho-e-previdencia/pt-br/</p><p>Foto: Divulgação/Freepik</p>"
Esporte,"Esporte para Vida. <p>Promover o o acesso da população ao esporte e à atividade física ao longo da vida, por meio do Sistema Nacional de Esporte, em espaços apropriados e acessíveis, que contemplem as dimensões de lazer, educacional, amadora e de alto desempenho, garantindo diversidade, inclusão social e qualidade de vida, em consonância com os valores do esporte.<br><br><strong>Órgão Responsável:</strong> Ministério do Esporte<br><br><strong>Página Oficial</strong>: https://www.gov.br/esporte/pt-br</p><p>Foto: Divulgação/Freepik</p>"
Meio Ambiente e Mudança do Clima,"Enfrentamento da Emergência Climática. <p><strong>Objetivo</strong>: Fortalecer a ação nacional frente às alterações do clima, enfrentando os desafios da redução de impactos climáticos e adaptação; e promovendo a resiliência aos eventos climáticos extremos, viabilizando de forma transversal as oportunidades da transição para a economia de baixo carbono.</p><p><strong>Órgão Responsável</strong>: Ministério do Meio Ambiente</p><p><strong>Página Oficial</strong>: https://www.gov.br/mma/pt-br/</p>"
Meio Ambiente e Mudança do Clima,"Enfrentamento da Emergência Climática. <p><strong>Objetivo</strong>: Fortalecer a ação nacional frente às alterações do clima, enfrentando os desafios da redução de impactos climáticos e adaptação; e promovendo a resiliência aos eventos climáticos extremos, viabilizando de forma transversal as oportunidades da transição para a economia de baixo carbono.</p><p><strong>Órgão Responsável</strong>: Ministério do Meio Ambiente</p><p><strong>Página Oficial</strong>: https://www.gov.br/mma/pt-br/</p>"
Desenvolvimento Agrário e Agricultura Familiar,"Agricultura Familiar e Agroecologia. <p>Fortalecer a agricultura familiar em sua diversidade e a agroecologia, promovendo a inclusão socioeconômica, com fomento à produção sustentável e à geração de renda, contribuindo para a promoção da segurança alimentar e nutricional e da vida digna, com redução das desigualdades e mitigação das mudanças climáticas.<br><br><strong>Órgão Responsável: </strong>Ministério do Desenvolvimento Agrário e Agricultura Familiar<br><strong><br>Página Oficial</strong>: https://www.gov.br/agricultura/pt-br/assuntos/mda/agricultura-familiar-1</p><p>Foto: Divulgação/Ministério do Desenvolvimento Agrário e Agricultura Familiar<br> </p>"
Agricultura e Pecuária,"Produção Agropecuária Sustentável. <p>Contribuir para o desenvolvimento do setor agropecuário, com sustentabilidade ambiental, econômica e social, por meio do fomento e da intensificação da produção; da geração, compartilhamento e aplicação de conhecimento técnico-científico; e da regulamentação, certificação, auditoria e fiscalização agropecuária.<br><br><strong>Órgão Responsável:</strong> Ministério da Agricultura e Pecuária<br><br><strong>Página Oficial:</strong> http://www.gov.br/agricultura/pt-br/</p><p>Foto: Divulgação/Ministério da Agricultura e Pecuária </p>"
"Desenvolvimento e Assistência Social, Família e Combate à Fome","Bolsa Família: Proteção Social por meio da Transferência de Renda e da Articulação de Políticas Públicas. <p>Reduzir a pobreza por meio da transferência de renda e do fortalecimento de acessos a serviços de educação, saúde, assistência social e inclusão socioeconômica.<br><br><strong>Órgão Responsável:</strong> Ministério do Desenvolvimento e Assistência Social, Família e Combate à fome<br><strong><br>Página Oficial:</strong> http://www.gov.br/cidadania/pt-br/</p><p>Foto: Divulgação/Governo Federal</p>"
Turismo,"Turismo, esse é o Destino. <p>Posicionar o turismo como vetor de desenvolvimento sustentável e aumentar a competitividade dos destinos e produtos turísticos brasileiros, democratizando o acesso à atividade turística aos cidadãos brasileiros. <br><br><strong>Órgão Responsável: </strong>Ministério do Turismo <br><br><strong>Página Oficial:</strong> https://www.gov.br/turismo/pt-br/</p><p>Foto: Divulgação/Freepik</p>"
Educação,"Educação Básica Democrática, com qualidade e equidade. <p>Elevar a qualidade e promover a equidade em todas as etapas e modalidades da Educação Básica, em regime de colaboração com os sistemas de ensino, valorizando os profissionais da educação básica, promovendo o acesso, a permanência, a conclusão de suas etapas, a trajetória regular e a aprendizagem em níveis adequados, com vistas à superação das desigualdades e a valorização da diversidade, na perspectiva do desenvolvimento integral, da inclusão, da sustentabilidade e da justiça social.<br><strong><br>Órgão Responsável:</strong> Ministério da Educação<br><br><strong>Página Oficial:</strong> http://www.gov.br/mec/pt-br/</p><p>Foto: Divulgação/Ministério da Educação</p>"
Povos Indígenas,"Direitos Pluriétnicos-Culturais e Sociais para a cidadania e o bem viver dos Povos Indígenas. <p>Reconhecer e efetivar os direitos pluriétnico-culturais e sociais dos Povos Indígenas, assegurando a preservação e a valorização dos seus saberes, culturas, tradições, línguas e memórias, bem como o pleno exercício da cidadania e o acesso culturalmente adequado às políticas e serviços públicos de garantia dos direitos sociais, respeitando sua autodeterminação, sua pluralidade étnico-cultural e seu protagonismo na gestão das políticas públicas que lhes são afetas.<br><strong><br>Órgão Responsável:</strong> Ministério dos Povos Indígenas<br><br><strong>Página Oficial:</strong> https://www.gov.br/povosindigenas/pt-br/</p><p>Foto: Divulgação/Governo Federal</p>"
Meio Ambiente e Mudança do Clima,"Enfrentamento da Emergência Climática. <p>Fortalecer a ação nacional frente às alterações do clima, enfrentando os desafios da redução de impactos climáticos e adaptação; e promovendo a resiliência aos eventos climáticos extremos, viabilizando de forma transversal as oportunidades da transição para a economia de baixo carbono.<br><strong><br>Órgão Responsável</strong>: Ministério do Meio Ambiente<br><br><strong>Página Oficial</strong>: https://www.gov.br/mma/pt-br</p><p> Foto: Vinicius Mendonça/IBAMA</p><p> </p>"
Trabalho e Emprego,"Promoção do Trabalho Digno, Emprego e Renda. <p>Assegurar o trabalho digno, o acesso ao emprego e renda, proteção social e remuneração justa, garantindo segurança e saúde no trabalho, diálogo social, inclusão, acessibilidade e equidade no mundo do trabalho. <br><br><strong>Órgão Responsável: </strong>Ministério do Trabalho e Emprego <br><br>Página Oficial: https://www.gov.br/trabalho-e-previdencia/pt-br/</p><p>Foto: Divulgação/Freepik</p>"
Educação,"Educação Superior: qualidade, democracia e sustentabilidade. <p>Ampliar o acesso, a permanência e a formação de qualidade na graduação e na pós-graduação, com vistas à superação das desigualdades e a valorização da diversidade, na perspectiva da equidade, da inclusão e da sustentabilidade, fortalecendo a ciência, a tecnologia, a inovação nas atividades de ensino, pesquisa e extensão e aperfeiçoando a avaliação, a supervisão e a regulação de forma participativa para o desenvolvimento do país.<br><br><strong>Órgão Responsável:</strong> Ministério da Educação<br><br><strong>Página Oficial</strong>: <a href=""http://www.gov.br/mec/pt-br/"" rel=""noopener noreferrer"" target=""_blank"">http://www.gov.br/mec/pt-br/</a></p><p>Foto: Divulgação/Governo Federal</p>"
Mulheres,"Mulher: Viver sem Violência. <p>Enfrentar todas as formas de violência contra as mulheres, baseadas em gênero, classe, raça e etnia, em toda a sua diversidade, nas esferas públicas e privadas, por meio da formulação, articulação, monitoramento, coordenação, governança interfederativa e avaliação de políticas transversais, intersetoriais, visando o pleno exercício da cidadania, livres de violências e ameaças.<br><br><strong>Órgão Responsável:</strong> Ministério das Mulheres<br><strong><br>Página Oficial: </strong>https://www.gov.br/mulheres/pt-br/</p><p>Foto:Leo Rizzo/Secretaria de Políticas para as Mulheres</p>"
Justiça e Segurança Pública,"Segurança Pública com Cidadania. <p>Fortalecer a prevenção e o enfrentamento à violência e a criminalidade, promovendo a segurança pública cidadã, humanizada e integrada entre os entes federados e em articulação com a sociedade, com atenção especial à proteção de grupos sociais vulneráveis, de mulheres e pessoas negras. <br><br><strong>Órgão Responsável:</strong> Ministério da Justiça e Segurança Publica <br><br><strong>Página Oficial</strong>:<a href=""http://www.gov.br/mj/pt-br/"" rel=""noopener noreferrer"" target=""_blank"">http://www.gov.br/mj/pt-br/</a></p><p>Foto: Tom Costa/Ministério da Justiça e Segurança Pública</p>"
Igualdade Racial,"Promoção da Igualdade Étnico-Racial, Combate e Superação do Racismo. <p>Promover a igualdade racial e combater o racismo, por meio da formulação, execução, articulação, monitoramento, governança interfederativa e avaliação de políticas públicas transversais, intersetoriais e afirmativas de reconhecimento e de acesso a bens e direitos, com vistas a assegurar o bem-viver, instituições antirracistas e uma sociedade justa, equitativa e democrática. <br><br><strong>Órgão Responsável:</strong> Ministério da Igualdade Racial <br><br><strong>Página Oficial</strong>: https://www.gov.br/igualdaderacial/pt-br/</p><p>Foto: Divulgação/Freepik</p>"
Direitos Humanos e Cidadania,"Promoção da Cidadania, Proteção, Defesa de Direitos Humanos e Reparação a Violações. <p>Assegurar a cidadania de segmentos vulnerabilizados ou submetidos a violências diversas por meio de políticas de reparação por graves violações, de educação, de promoção e de defesa de direitos humanos. <br><br><strong>Órgão Responsável:</strong> Ministério dos Direitos Humanos e Cidadania <br><br><strong>Página Oficial:</strong> http://www.gov.br/mdh/pt-br/</p><p>Foto: Divulgação/Freepik</p>"
Minas e Energia,"Transição Energética. <p>Coordenar, planejar e promover a redução do conteúdo de carbono da matriz energética brasileira, promovendo a manutenção da alta participação da oferta de energia limpas e renováveis e o aumento da eficiência energética, tanto na oferta quanto na logística de distribuição e no uso final de energia.<br><br><strong>Órgão Responsável: </strong>Ministério de Minas e Energia<br><br><strong>Página Oficial:</strong> http://www.gov.br/mme/pt-br/</p><p>Foto: Divulgação/Governo Federal</p>"
Cidades,"Moradia Digna  . <p><strong>Objetivo:</strong> Promover moradia digna às famílias residentes em áreas urbanas e rurais com a garantia do direito à cidade, associado ao desenvolvimento urbano e econômico, à geração de trabalho e renda e à elevação dos padrões de habitabilidade e de qualidade de vida da população.</p><p><strong>Órgão Responsável</strong>: Ministério das Cidades</p><p><strong>Página Oficial</strong>: https://www.gov.br/cidades/pt-br/ </p><p><strong>Foto</strong>: Divulgação/Ministério das Cidades</p>"
Agricultura e Pecuária,"Agricultura Familiar e Agroecologia. <p><strong>Objetivo: </strong>Fortalecer a agricultura familiar em sua diversidade e a agroecologia, promovendo a inclusão socioeconômica, com fomento à produção sustentável e à geração de renda, contribuindo para a promoção da segurança alimentar e nutricional e da vida digna, com redução das desigualdades e mitigação das mudanças climáticas.<br><br><strong>Órgão Responsável: </strong>Ministério do Desenvolvimento Agrário<br><strong><br>Página Oficial:</strong> <a href=""https://www.gov.br/agricultura/pt-br/assuntos/mda/agricultura-familiar-1"" rel=""noopener noreferrer"" target=""_blank"">https://www.gov.br/agricultura/pt-br/assuntos/mda/agricultura-familiar-1</a></p><p><img src=""/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBMdz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--65496e777ab03cbf388aa16a201ed2ea0f994d21/1%20-Agricultura%20Familiar%20e%20Agroecologia.png""></p>"
Agricultura e Pecuária,"Agropecuária Sustentável. <p>Objetivo: Contribuir para o desenvolvimento do setor agropecuário, com sustentabilidade ambiental, econômica e social, por meio do fomento e da intensificação da produção; da geração, compartilhamento e aplicação de conhecimento técnico-científico; e da regulamentação, certificação, auditoria e fiscalização agropecuária.</p><p>Órgão Responsável: Ministério da Agricultura e Pecuária</p><p>Página Oficial: http://www.gov.br/agricultura/pt-br/</p>"
Saúde,"Atenção Primária à Saúde. <p><strong>Objetivo</strong>: Ampliar o acesso às ações e serviços da Atenção Especializada à Saúde, conforme as necessidades de saúde da população, reduzindo as desigualdades de raça/etnia, de gênero, regionais e sociais, e promovendo a integralidade do cuidado </p><p><strong>Órgão Responsável</strong>: Ministério da Saúde </p><p><strong>Página Oficial</strong>: <a href=""https://www.gov.br/saude/pt-br/"" rel=""noopener noreferrer"" target=""_blank"">https://www.gov.br/saude/pt-br/</a> </p>"
Saúde,"Atenção Primária à Saúde. <p><strong>Objetivo</strong>: Fortalecer a Atenção Primária à Saúde, ampliando a cobertura da Estratégia de Saúde da Família e da Saúde Bucal, com vistas à universalização do acesso, à abrangência do cuidado integral, à promoção da saúde, à prevenção de agravos e à redução de desigualdades de raça/etnia, de gênero, regionais e sociais</p><p><strong>Órgão Responsável</strong>: Ministério da Saúde</p><p><strong>Página Oficial</strong>: https://www.gov.br/saude/pt-br/</p>"
"Desenvolvimento e Assistência Social, Família e Combate à Fome","Bolsa Família: Proteção Social por Meio da Transferência de Renda e Articulação das Políticas Públicas. <p><strong>Objetivo</strong>: Reduzir a pobreza por meio da transferência de renda e do fortalecimento de acessos a serviços de educação, saúde, assistência social e inclusão socioeconômica. </p><p><strong>Órgão Responsável</strong>: Ministério do Desenvolvimento e Assistência Social, Família e Combate à fome </p><p><strong>Página Oficial</strong>: http://www.gov.br/cidadania/pt-br/ </p>"
Comunicações,"Brasil Conectado: Comunicações para Inclusão e Transformação. <p><strong>Objetivo</strong>: Assegurar serviços de comunicações e conectividade, pela oferta inclusiva dos meios de acesso, com o desenvolvimento das habilidades digitais, dando ênfase aos grupos vulnerabilizados</p><p><strong>Órgão Responsável</strong>: Ministério das Comunicações</p><p><strong>Página Oficial</strong>: http://www.gov.br/mcom/pt-br/</p>"
Casa Civil,Programa de participação . Participação Social no governo federal
Meio Ambiente e Mudança do Clima,"Educação Ambiental . Garantir nas escolas de alfabetização até o  grau médio, a Educação Ambiental,  como disciplina."
Mulheres,"Pelo bem viver das mulheres . Construir creches noturnas, para que as mulheres, sobretudo as que são chefes de família,  terem onde deixar seus filhos em segurança para trabalhar sem a preocupação de deixar com terceiros."
Saúde,Proposta de programa n.01 . Esse projeto visa melhorar o acesso à saúde pública em regiões distantes dos grandes centros urbanos.
Educação,Proposta de programa n.02 . Programa de valorização de servidores da educação
Saúde,Proposta de programa n.01 . Esse projeto visa melhorar o acesso à saúde pública em regiões distantes dos grandes centros urbanos.
Segurança Institucional,Proposta de programa n.03 . Câmeras de segurança nas ruas em perímetro que cerca as escolas públicas federais.
Transportes,"Construção dos dispositivos de acesso da Br 324 Bahia. Implementação dos dispositivos de acesso na BR324, nos kms 545, 548 e 560, para garantir o direito básico de ir e vir com segurança da sociedade do Território Portal do Sertão"
Mulheres,Aposentadoria das mulheres . Que as idades para aposentadoria das mulheres fossem a idade menor para contribuição. E que as empresas fossem orientadas a contratar pessoas idosas se não estivessem aposentadas .
Educação,"Padronização das unidades escolares . Reestruturação das unidades escolares de toda a Bahia, garantindo a padronização dos prédios, conforme orientações FNDE. Com construção de quadras, ampliação das salas de aula, Reestruturação dos banheiros e no refeitório. Garantindo equidade no processo de ensino aprendizagem."
Meio Ambiente e Mudança do Clima,"Potencializar a exploração sustentável da Cachoeira da Pedreira, no município de Amélia Rodrigues . Oportunizar infraestrutura na Cachoeira da Pedreira( município de Amélia Rodrigues-Ba), enquanto potencial de recurso Natural, configurando-a como Área de Proteção Ambiental (APA)."
Transportes,"Iluminação com lâmpadas solares nos postes dos parques. Visto o grande número de roubos dos fios de cobre dos postes nos parques de João pessoa, a implementação de lâmpadas solares evitaria consideravelmente que os parques fiquem sem iluminação. Pois os mesmos são usados por crianças para brincar, idosos e demais pessoas para fazerem caminhadas, práticas esportivas. E hoje no parque Parahyba 1,2 e 3 a população vem sofrendo com a falta de iluminação, oque ocasiona maior perigo de assaltos na região."
Educação,"Fomento ao Integral. Reestabelecer a política de Educação Integral a partir do fomento federal, ofertando formação e bolsa digna aos voluntários. Garantindo as estruturas escolares, a logística de transporte, dentre outras demandas."
Educação,"Padronização nas unidades de ensino. Estabelecer e criar melhorias nas escolas, para transformar os adolescentes do ensino ao mercado de trabalho."
