ID,Tema,Ministério,Categoria 1,Categoria 2,Título,#CUIDADO,Corpo,Status,Data de publicação,URL,
56,Educação,Educação,Carreiras da Educação ,Planos de Carreira,Proposta de programa n.02 ,Não,Programa de valorização de servidores da educação,,11.05.2023 02:15:19,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/56,
59,Saúde,Saúde,Programa Social,Acesso à Saúde,Proposta de programa n.01 ,Não,Esse projeto visa melhorar o acesso à saúde pública em regiões distantes dos grandes centros urbanos.,,11.05.2023 02:17:58,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/59,
60,Segurança Institucional,Justiça e Segurança Pública,Ampliação de Infraestrutura,Segurança Urbana,Proposta de programa n.03 ,Não,Câmeras de segurança nas ruas em perímetro que cerca as escolas públicas federais.,,11.05.2023 02:19:36,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/60,
64,Transportes,Transportes,Ampliação de Infraestrutura,Rodovias,Construção dos dispositivos de acesso da Br 324 Bahia,Não,"Implementação dos dispositivos de acesso na BR324, nos kms 545, 548 e 560, para garantir o direito básico de ir e vir com segurança da sociedade do Território Portal do Sertão","<p> Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo! </p><p>Divulgue na sua rede: </p><p>Vote na minha proposta para melhorar o Brasil: <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/64"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/64</a> </p><p> </p>",11.05.2023 12:25:27,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/64,
65,Mulheres,Legislativo,Reforma previdência,Mulheres,Aposentadoria das mulheres ,Sim,Que as idades para aposentadoria das mulheres fossem a idade menor para contribuição. E que as empresas fossem orientadas a contratar pessoas idosas se não estivessem aposentadas .,"<p> Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo! </p><p><br></p><p>Divulgue na sua rede: </p><p><br></p><p>Vote na minha proposta para melhorar o Brasil:&nbsp;<a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/65"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/65</a> </p>",11.05.2023 12:33:48,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/65,
66,Educação,Educação,Ampliação de Infraestrutura,,Padronização das unidades escolares ,Não,"Reestruturação das unidades escolares de toda a Bahia, garantindo a padronização dos prédios, conforme orientações FNDE. Com construção de quadras, ampliação das salas de aula, Reestruturação dos banheiros e no refeitório. Garantindo equidade no processo de ensino aprendizagem.","<p> Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo!   </p><p>Divulgue na sua rede:  </p><p>Vote na minha proposta para melhorar o Brasil:  <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/66"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/66</a> </p>",11.05.2023 12:37:28,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/66,
67,Meio Ambiente e Mudança do Clima,Meio Ambiente e Mudança do Clima,Ampliação de Infraestrutura,,"Potencializar a exploração sustentável da Cachoeira da Pedreira, no município de Amélia Rodrigues ",Não,"Oportunizar infraestrutura na Cachoeira da Pedreira( município de Amélia Rodrigues-Ba), enquanto potencial de recurso Natural, configurando-a como Área de Proteção Ambiental (APA).","<p> Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo!    </p><p>Divulgue na sua rede:  </p><p>Vote na minha proposta para melhorar o Brasil: <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/67"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/67</a></p><p> </p>",11.05.2023 12:39:33,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/67,
68,Transportes,Cidades,Ampliação de Infraestrutura,Iluminação Pública / Fontes Alternativas de Energia,Iluminação com lâmpadas solares nos postes dos parques,Não,"Visto o grande número de roubos dos fios de cobre dos postes nos parques de João pessoa, a implementação de lâmpadas solares evitaria consideravelmente que os parques fiquem sem iluminação. Pois os mesmos são usados por crianças para brincar, idosos e demais pessoas para fazerem caminhadas, práticas esportivas. E hoje no parque Parahyba 1,2 e 3 a população vem sofrendo com a falta de iluminação, oque ocasiona maior perigo de assaltos na região.","<p>Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo! </p><p>Divulgue na sua rede: </p><p>Vote na minha proposta para melhorar o Brasil: <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/68"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/68</a> </p><p> </p>",11.05.2023 12:41:20,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/68,
69,Educação,Educação,Ensino Fundamental e Médio,Bolsa Estudantil,Fomento ao Integral,Sim,"Reestabelecer a política de Educação Integral a partir do fomento federal, ofertando formação e bolsa digna aos voluntários. Garantindo as estruturas escolares, a logística de transporte, dentre outras demandas.","<p> Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo! </p><p>Divulgue na sua rede: </p><p>Vote na minha proposta para melhorar o Brasil:  <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/69"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/69</a> </p><p> </p>",11.05.2023 12:43:01,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/69,
70,Educação,Educação,Ampliação de Infraestrutura,Educação Profissionalizante / Educação Tecnológica,Padronização nas unidades de ensino,Não,"Estabelecer e criar melhorias nas escolas, para transformar os adolescentes do ensino ao mercado de trabalho.","<p> Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo!    </p><p>Divulgue na sua rede: </p><p> Vote na minha proposta para melhorar o Brasil:&nbsp;<a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/70"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/70</a> </p>",11.05.2023 12:50:43,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/70,
71,Minas e Energia,Legislativo,Estatização / Eletricidade / Empresas Públicas,Iluminação Pública,Reestatização da Eletrobrás ,Não,"A privatização reduz a segurança energética do país. Os “jabutis” acrescentados à lei de privatização e o desejo de recuperar o mais rápido possível o que pagaram levará a aumento significativo das tarifas, comprometendo o acesso a energia aos mais carentes e áreas de maior custo pra levar a energia como áreas rurais. Com o controle dos nossos rios, ameaça  comunidades ribeirinhas. A experiência internacional mostra que a ausencia de manutenção e investimento gera o risco inclusive de apagões .","<p>  Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo! </p><p>Divulgue na sua rede: </p><p> Vote na minha proposta para melhorar o Brasil: <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/71"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/71</a> </p><p> </p>",11.05.2023 12:58:24,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/71,
72,Educação,Legislativo,Ensino Médio e Fundamental ,Currículo Escolar / Novo Ensino Médio,"Revogar o ""Novo Ensino Médio"" que prejudica os jovens",Não,"Com urgência reduzir a quantidade de aulas em itinerários bizarros que TIRARAM aulas de matemática, português, física, química, redação, geografia e história e estão DESTRUINDO a formação dos jovens que saem muito pior hoje em dia, sem formação consistente.","<p>Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo!    </p><p>Divulgue na sua rede:  </p><p>Vote na minha proposta para melhorar o Brasil:  <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/72"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/72</a> </p>",11.05.2023 13:03:31,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/72,
73,Trabalho e Emprego,Legislativo,Ensino Médio e Fundamental / Currículo Escolar / Trânsito,Segurança do Trânsito, Capacitação em direção defensiva para estudantes de escolas de tempo integral.,Não,"Como sabe, a habilidade de dirigir é valiosa que traz benefícios tanto na vida acadêmica quanto profissional dos estudantes.
Pra essa capacitação, escola de tempo integral ofereceria curso de direção defensiva com abordagem prática e teórica. O curso seria desenvolvido em conjunto com autoescola credenciada, com duração de 30 horas e divididas em aulas teóricas e práticas. Ao final do curso, com seus certificados de conclusão do curso, aumentar suas chances de inserção no mercado de trabalho.","<p>Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo! </p><p>Divulgue na sua rede: </p><p>Vote na minha proposta para melhorar o Brasil:  <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/73"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/73</a> </p><p> </p>",11.05.2023 13:05:02,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/73,
75,Cidades,Cidades,Minha Casa Minha Vida,Incentivos Financeiros / Fora dos Centros Urbanos,Minha Casa Minha Vida aumentando subsídio para área central,Não,"Aumentar o subsídio se o terreno e o empreendimento for CENTRAL (até 10km do centro da cidade) para que a Faixa 1 seja feita em locais com boa infra estrutura urbana (escolas, creches, hospitais, ônibus, teatros, etc).","<p>Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as)  para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros.  Assim a gente vai construir um país com a cara do nosso povo!</p><p>Divulgue na sua rede:</p><p>Vote na minha proposta para melhorar o Brasil:  <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/75"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/75</a> </p>",11.05.2023 13:07:43,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/75,
74,Cidades,Cultura,"Lazer, Cultura e Esporte",Fora dos Centros Urbanos,Programa Periferia Viva,Não,"A Secretaria Nacional de Periferias propõe o Programa Periferia Viva, para articular todas as políticas públicas do Estado nos territórios periféricos e garantir a participação popular nas decisões. Nas periferias, não basta só um tipo de intervenção do Estado. São décadas de abandono, carências e vulnerabilidades. E também décadas de organização popular para exigir os direitos e criar soluções. O Periferia Viva é uma inovação do governo Lula para mudar a vida do povo das periferias do Brasil.","<p>Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo! </p><p>Divulgue na sua rede: </p><p>Vote na minha proposta para melhorar o Brasil:  <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/74"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/74</a> </p>",11.05.2023 13:10:14,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/74,
77,Transportes,Integração e Desenvolvimento Regional,Mobilidade / Transporte Coletivo,Incentivos Financeiros / Parceria Público Privada,Programa de subsídios para transporte em cidades brasileiras com recursos de multas e pedágios,Não,"Proposta: criar um programa de subsídios em parceria com prefeituras e empresas de transporte público para financiar a aquisição e manutenção de ônibus e veículos de transporte público em pequenas e médias cidades brasileiras, visando melhorar o transporte coletivo e a qualidade de vida da população local. Esse programa receberia um percentual dos recursos de Multas de Trânsito, estacionamentos rotativos e pedágios.","<p>Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo!</p><p>Divulgue na sua rede:</p><p>Vote na minha proposta para melhorar o Brasil:  <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/77"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/77</a> </p><p> </p>",11.05.2023 13:16:38,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/77,
78,Cidades,Cidades,Ampliação de Infraestrutura,Água,Otimizar o uso dos recursos hídricos do Canal do Sertão Alagoano ,Não,"Destinar recursos para a construção de sistemas de tratamento de água para consumo humano ao longo de toda a extensão do canal do sertão, para abastecimento das cidades e dos povoados que o margem, haja vista que muitas comunidades do sertão ainda não têm água encanada.","<p>Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo!</p><p>Divulgue na sua rede:</p><p>Vote na minha proposta para melhorar o Brasil:  <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/78"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/78</a> </p><p> </p>",11.05.2023 13:19:09,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/78,
79,Meio Ambiente e Mudança do Clima,Meio Ambiente e Mudança do Clima,Políticas Sociais,Resíduos sólidos,Programa de Resíduos Solidos,Não,"É importante se ter atenção especial a implementação da Política Nacional de Resíduos Sólidos, que está sendo negligenciada há anos no Brasil","<p>Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo!    </p><p>Divulgue na sua rede:  </p><p>Vote na minha proposta para melhorar o Brasil:  <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/79"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/79</a> </p>",11.05.2023 13:22:56,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/79,
81,Desenvolvimento Agrário e Agricultura Familiar,"Desenvolvimento e Assistência Social, Família e Combate à Fome",Moradia,Fora dos centros urbanos,Moradia Rural para Famílias de Baixa Renda,Não,"Morar na propriedade do empregador é a realidade da maioria dos trabalhadores rurais e suas famílias, situação que torna a relação de trabalho desigual e frequentemente entendida como parcela da remuneração.
Proponho o ""Minha Ecovila - Minha Vida"" que ofereça essa modalidade de moradia rural próxima aos empregos com incentivo às atividades de subsistência comunitárias (hortas & cia).
Trará + dignidade aos trabalhadores e fixará força de trabalho nas zonas rurais.","<p>Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo!    </p><p>Divulgue na sua rede:  </p><p>Vote na minha proposta para melhorar o Brasil:  <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/81"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/81</a> </p>",11.05.2023 13:38:16,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/81,
82,Transportes,Transportes,Rodovias,Duplicação de BR,"Viaduto no KM459 da BR-116 para retorno seguro a Santo Estêvão, Bahia",Não,"Proposta: construir um viaduto no KM459 da BR-116, próximo à Comunidade do Pau de Vela, para permitir o retorno seguro à cidade de Santo Estêvão. A obra melhorará o acesso e a mobilidade da população local, favorecendo o desenvolvimento econômico e social da cidade.","<p>Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo!    </p><p>Divulgue na sua rede:  </p><p>Vote na minha proposta para melhorar o Brasil:  <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/82"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/82</a> </p>",11.05.2023 13:39:41,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/82,
83,Cidades,Meio Ambiente e Mudança do Clima,Seca e Estiagem,Água,Garantir a gestão pública e otimizar o uso dos recursos hídricos do Canal do Sertão Alagoano,Não,"Garantir a gestão pública e destinar recursos para a construção de sistemas de tratamento de água para consumo humano em toda a extensão do canal, haja vista que várias comunidades ainda não têm água encanada.","<p>Que ótimo! Recebemos sua proposta no Brasil Participativo. Divulgue sua ideia para seus amigos(as) até 14 de julho para ter mais votos. As autoras e autores das 5 propostas mais votadas serão convidados (as) para o 3º Fórum Interconselhos, em Brasília, que contará com a presença do presidente Lula e ministros. Assim a gente vai construir um país com a cara do nosso povo! </p><p>Divulgue na sua rede: </p><p>Vote na minha proposta para melhorar o Brasil:  <a href=""https://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/83"" rel=""noopener noreferrer"" target=""_blank"">http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/83</a> </p><p> </p>",11.05.2023 13:43:12,http://brasilparticipativo.presidencia.gov.br/processes/programas/f/2/proposals/83,
